"Variable","Variable Label","Possible Values","Column Type","Column Name"
"sernum","sernum ","","int64","sernum_"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"EXTSEQ","Extseq","","int64","Extseq"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"NHHAMT","Fees/maintenance for external child","","object","Feesmaintenance_for_external_child"
"NHHFEE","Whether payments made for external child","Yes , No ","object","Whether_payments_made_for_external_child"
"NHHINTRO","Any other children outside hh in ft,pt educ","Yes , No ","object","Any_other_children_outside_hh_in_ftpt_educ"
"NHHPD","Pcode:fees/maint for external child","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , 2 calendar months, 8 times a year, 9 times a year, 10 times a year, 3 months / 13 weeks, School term / 3 times a year, 1 year / 12 months / 52 weeks, None of these, 6 months / 26 weeks, One-off / lump sum","object","Pcodefeesmaint_for_external_child"
"MONTH","Month code (Source)","","int64","Month_code_Source"
