"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"MORTSEQ","Mortgage Sequence Number","","int64","Mortgage_Sequence_Number"
"CONTSEQ","Mortgage Contribution Sequence","","int64","Mortgage_Contribution_Sequence"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"OUTSAMT","Amount paid towards mortgage last time","","float64","Amount_paid_towards_mortgage_last_time"
"OUTSINCL","Whether included in mortgage payment","Yes , No ","object","Whether_included_in_mortgage_payment"
"OUTSPAY","Outside contributor to mortgage/loan","DWP , Employer , Other organisation , Friend or relative , Mortgage protection/insurance policy , Other ","object","Outside_contributor_to_mortgageloan"
"OUTSPD","Pcode: amount paid towards mortgage","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_paid_towards_mortgage"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
